rank,Control,Pyrocosm1,Pyrocosm2,Pyrocosm 1 no Pyronema,Pyrocosm 2 no Pyronema
247,0.020501085,,,,
248,0.020024315,,,,
249,0.019785931,,,,
250,0.019785931,,,,
251,0.019547546,,,,
252,0.019309161,,,,
253,0.019309161,,,,
254,0.018832392,,,,
255,0.018832392,,,,
256,0.018594007,,,,
257,0.018355622,,,,
258,0.018355622,,,,
259,0.018117238,,,,
260,0.017402083,,,,
261,0.017402083,,,,
262,0.017163699,,,,
263,0.016686929,,,,
264,0.016448545,,,,
265,0.016448545,,,,
266,0.01621016,,,,
267,0.01621016,,,,
268,0.01621016,,,,
269,0.015733391,,,,
270,0.015733391,,,,
271,0.015733391,,,,
272,0.015495006,,,,
273,0.015256621,,,,
274,0.015018236,,,,
275,0.015018236,,,,
276,0.014779852,,,,
277,0.014541467,,,,
278,0.014541467,,,,
279,0.014303082,,,,
280,0.014064698,,,,
281,0.014064698,,,,
282,0.014064698,,,,
283,0.013826313,,,,
284,0.013587928,,,,
285,0.013587928,,,,
286,0.013349543,,,,
287,0.013349543,,,,
288,0.013349543,,,,
289,0.013111159,,,,
290,0.013111159,,,,
291,0.013111159,,,,
292,0.012872774,,,,
293,0.012872774,,,,
294,0.012872774,,,,
295,0.012396005,,,,
296,0.01215762,,,,
297,0.01215762,,,,
298,0.011919235,,,,
299,0.011919235,,,,
300,0.011919235,,,,
301,0.011680851,,,,
302,0.011442466,,,,
303,0.011442466,,,,
304,0.011204081,,,,
305,0.011204081,,,,
306,0.010965696,,,,
307,0.010727312,,,,
308,0.010727312,,,,
309,0.010727312,,,,
310,0.010488927,,,,
311,0.010488927,,,,
312,0.010250542,,,,
313,0.010250542,,,,
314,0.010012158,,,,
315,0.010012158,,,,
316,0.009773773,,,,
317,0.009535388,,,,
318,0.009535388,,,,
319,0.009297004,,,,
320,0.009297004,,,,
321,0.009058619,,,,
322,0.009058619,,,,
323,0.008820234,,,,
324,0.008820234,,,,
325,0.008820234,,,,
326,0.008820234,,,,
327,0.008820234,,,,
328,0.008820234,,,,
329,0.008581849,,,,
330,0.008581849,,,,
331,0.008581849,,,,
332,0.008581849,,,,
333,0.008343465,,,,
334,0.008343465,,,,
335,0.008343465,,,,
336,0.00810508,,,,
337,0.00810508,,,,
338,0.007866695,,,,
339,0.007866695,,,,
340,0.007628311,,,,
341,0.007628311,,,,
342,0.007628311,,,,
343,0.007628311,,,,
344,0.007628311,,,,
345,0.007389926,,,,
346,0.007389926,,,,
347,0.007389926,,,,
348,0.007389926,,,,
349,0.007151541,,,,
350,0.007151541,,,,
351,0.007151541,,,,
352,0.007151541,,,,
353,0.006913156,,,,
354,0.006674772,,,,
355,0.006674772,,,,
356,0.006674772,,,,
357,0.006674772,,,,
358,0.006674772,,,,
359,0.006674772,,,,
360,0.006674772,,,,
361,0.006436387,,,,
362,0.006436387,,,,
363,0.006436387,,,,
364,0.006436387,,,,
365,0.006198002,,,,
366,0.006198002,,,,
367,0.006198002,,,,
368,0.006198002,,,,
369,0.006198002,,,,
370,0.005959618,,,,
371,0.005959618,,,,
372,0.005959618,,,,
373,0.005721233,,,,
374,0.005721233,,,,
375,0.005721233,,,,
376,0.005721233,,,,
377,0.005721233,,,,
378,0.005482848,,,,
379,0.005482848,,,,
380,0.005482848,,,,
381,0.005244464,,,,
382,0.005244464,,,,
383,0.005244464,,,,
384,0.005244464,,,,
385,0.005244464,,,,
386,0.005244464,,,,
387,0.005006079,,,,
388,0.005006079,,,,
389,0.005006079,,,,
390,0.005006079,,,,
391,0.005006079,,,,
392,0.005006079,,,,
393,0.005006079,,,,
394,0.005006079,,,,
